ï»¿,created at,from user,text
76,3/31/2023 17:42,Metro_TV,"Jadi siapa yang salah nih? Masih bisakah kita mempercayai pemerintah? Hmmm

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/ytzh2rsIcF"
77,3/31/2023 17:41,Metro_TV,"Tito Wiratama alami rasa kecewa atas pemerintah daerahnya sendiri. Kecewa juga ga nih kamu?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/Q4FAW3VFBy"
78,3/31/2023 17:41,Metro_TV,"Meski dihimbau untuk tak terlalu berharap, tapi sebenarnya kamu masih pengen ga sih Indonesia ikut main?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di kanal youtube ""metrotvnews""

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/Dg6l5cXsPk"
79,3/31/2023 17:40,Metro_TV,"Ada ga ya solusi untuk tetap mendukung mimpi-mimpi para atlet sepak bola kita?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/LXq81fT8p9"
80,3/31/2023 17:39,Metro_TV,"Coba share pendapatmu, siapa yang kira-kira harus bertanggungjawab atas semua ini? ðŸ¤”

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/tDMRBsRBjN"
81,3/31/2023 17:39,Metro_TV,"Hmmm, gak adil juga ya kalo kayak gini. Pihak mana sih yang menerapkan sistem 'tebang pilih' ini? ðŸ¤

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/CTyrvfPyBQ"
82,3/31/2023 17:37,Metro_TV,"Kacau! Sekelas Pelaksana Tugas Menpora aja gak tau, gimana Timnas Indonesia? Gimana kita masyarakat? 

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/sDpDD0OEbI"
83,3/31/2023 17:36,Metro_TV,"Bagi Timnas Indonesia ternyata ini bisa jadi kiamat karena potensi mata pencaharian mereka yang hilang. Lantas, apa solusinya?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/UuAFdS3s3s"
84,3/31/2023 17:35,Metro_TV,"Kamu tim yang pro atau kontra nih sama tanggapan satu ini?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/AiB1QjcKvz"
85,3/31/2023 17:34,Metro_TV,"Bagaimana nasib Timnas Indonesia selanjutnya? Masih adakah harapan bagi mereka?

Saksikan #MetroTVKontroversi episode ASA TUAN RUMAH MUSNAH SUDAH di https://t.co/5AWRphxMkC

#PialaDuniaU20 #PialaDuniaU20Batal #TimnasIndonesia #TimnasIsrael #FIFA #PSSI https://t.co/yNz0YBsf1G"
