ï»¿,created at,from user,text
67,2023-04-01 23:31:41+00:00,oollpoiik,@6undul0h #FIFA #PSSI @FIFAcom @PSSI @erickthohir @jokowi @PalestineToday
68,2023-04-01 23:31:20+00:00,rendytriawan88,Semoga sepakbola Indonesia bisa bertransformasi lebih baik ke depannya #erickthohir #pssi #jokowi #fifa #erickthohirsolusirakyat #erickthohiridolague #sepakbolaindonesia https://t.co/TAyB3rSKir
69,2023-04-01 23:24:26+00:00,AprillioDandy,"Erick Thohir diberikan Intruksi khusus dari Presiden Jokowi untuk transformasi PSSI, Ayo dukung terus kemajuan sepakbola Indonesia ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ» #erickthohir #rokET #pssi #erickthohirbukanmaen #bumnhadiruntuknegeri #bumnuntukindonesia #erickthohirsolusirakyat #indoviral #indonesiamaju https://t.co/lEkN0cIVYx"
70,2023-04-01 23:18:42+00:00,Kusumadana95,"Erick Thohir diberikan Intruksi khusus dari Presiden Jokowi untuk transformasi PSSI, Ayo dukung terus kemajuan sepakbola Indonesia ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ» #erickthohir #rokET #pssi #erickthohirbukanmaen #bumnhadiruntuknegeri #bumnuntukindonesia #erickthohirsolusirakyat #indoviral #IndonesiaMaju https://t.co/ba9bXORVPC"
71,2023-04-01 23:04:40+00:00,ariefalay66,Mantap harus bertransformasi memang sepakbola Indonesia ke arah yang lebih baik agar bisa berprestasi #erickthohir #pssi #jokowi #menteriterbaik #ketuapssi #erickthohirsolusirakyat #erickthohiridolague #sepakbolaindonesia #fifa https://t.co/JqgsIK6fPC
72,2023-04-01 23:01:41+00:00,tegarwadesta,Semoga PSSI dan FIFA bisa bekerjasama untuk transformasi sepakbola Indonesia kedepannya #erickthohir #pssi #fifa #jokowi #ketuapssi #sepakbolaindonesia #erickthohirsolusirakyat #ketuapssi https://t.co/KQhSuCgR6s
73,2023-04-01 22:42:36+00:00,Beritabaruco,"Marselino Ferdinan Dimainkan, KMSK Deinze Menang Banyak https://t.co/NbNEpIcGJh #KMSKDeinze #MarselinoFerdinan #PSSI #TimnasIndonesia https://t.co/SxPaq5CdCa"
74,2023-04-01 22:24:29+00:00,TodayNews_id,"viral sepak bola palestina dan indonesia terancam sanksi FIFA
#PialaDuniaU20
 #palestina #indonesia #PSSI #FIFA #pialadunia https://t.co/aJil7LYgKD"
75,2023-04-01 22:20:54+00:00,MRSLLCLLJP,udah pada tau ini blm? #israel #Palestine #u20 #PSSI #TimnasU20 https://t.co/LOYckeBLHa
76,2023-04-01 22:07:22+00:00,ayojakartanews,"Timnas Sepak Bola U-20 Indonesia Dibubarkan, Wakil Ketua Umum PSSI Sempat Minta Ini ke Shin Tae Yong #TimnasU20 #PSSI #ShinTaeYong https://t.co/jlK52Whlnd"
